payment_fact_key,customer_key,film_key,store_key,staff_key,date_key,payment_amount,payment_count
40237,238,302,1,71,20100103,39.3,1
40238,167,752,2,80,20100103,83.7,1
40239,446,256,2,121,20100105,38.5,1
40240,565,162,2,19,20100106,14.8,1
40241,573,417,1,64,20100106,67.0,1
40242,75,35,2,17,20100105,50.8,1
40243,52,976,2,7,20100106,12.1,1
40244,591,689,1,6,20100107,39.7,1
40245,462,980,1,68,20100107,9.4,1
40246,142,287,1,120,20100105,97.7,1
40247,429,611,2,72,20100105,93.6,1
40248,468,267,1,78,20100105,75.4,1
40249,114,410,1,121,20100104,33.1,1
40250,472,521,1,63,20100106,26.3,1
40251,579,391,1,17,20100105,49.6,1
40252,357,444,1,11,20100107,59.0,1
40253,18,437,2,12,20100103,93.0,1
40254,529,451,1,8,20100105,25.0,1
40255,312,272,1,72,20100104,63.9,1
40256,131,833,2,12,20100105,50.6,1
40257,309,661,1,75,20100108,5.3,1
40258,16,651,2,16,20100104,61.8,1
40259,6,895,1,18,20100108,19.0,1
40260,45,125,2,16,20100106,43.5,1
40261,446,567,2,78,20100105,39.7,1
40262,599,553,2,10,20100105,19.4,1
40263,226,984,1,16,20100108,28.5,1
40264,389,792,2,14,20100105,18.0,1
40265,407,862,1,116,20100105,45.5,1
40266,350,390,1,67,20100107,49.5,1
40267,174,873,2,19,20100106,28.3,1
40268,140,117,2,5,20100108,79.9,1
40269,551,498,1,18,20100105,63.5,1
40270,50,941,1,122,20100108,67.1,1
40271,581,780,2,3,20100104,56.7,1
40272,392,414,1,73,20100108,44.3,1
40273,192,28,1,17,20100107,3.8,1
40274,334,269,2,76,20100105,98.6,1
40275,173,895,1,5,20100108,61.3,1
40276,521,464,1,126,20100106,42.3,1
40277,159,650,2,123,20100107,33.7,1
40278,484,936,2,18,20100109,26.2,1
40279,76,351,1,71,20100110,15.9,1
40280,411,436,1,65,20100111,4.5,1
40281,106,413,1,12,20100108,32.7,1
40282,454,391,2,121,20100110,97.2,1
40283,103,392,2,12,20100109,92.2,1
40284,229,637,2,10,20100109,95.6,1
40285,317,718,2,67,20100111,32.8,1
40286,155,594,1,20,20100108,59.3,1
40287,424,855,1,74,20100110,80.2,1
40288,245,193,1,78,20100110,41.8,1
40289,434,466,1,5,20100113,45.7,1
40290,29,285,2,12,20100113,14.6,1
40291,404,827,2,114,20100109,89.0,1
40292,255,1,1,8,20100113,76.1,1
40293,105,112,1,67,20100111,58.7,1
40294,449,614,1,66,20100114,99.3,1
40295,259,527,1,121,20100110,1.4,1
40296,293,812,2,11,20100110,83.8,1
40297,169,667,2,3,20100110,12.1,1
40298,129,965,1,19,20100113,69.7,1
40299,131,234,2,68,20100110,26.9,1
40300,432,117,2,2,20100112,99.4,1
40301,196,792,2,76,20100111,21.9,1
40302,116,409,1,79,20100113,37.3,1
40303,559,974,1,7,20100114,68.5,1
40304,587,379,2,5,20100113,50.6,1
40305,382,311,2,19,20100114,16.7,1
40306,44,358,2,73,20100112,42.8,1
40307,229,162,2,6,20100112,36.0,1
40308,12,225,1,11,20100114,9.0,1
40309,173,488,1,78,20100114,18.1,1
40310,236,660,2,1,20100113,79.6,1
40311,473,785,1,66,20100113,22.7,1
40312,57,745,1,62,20100115,57.9,1
40313,363,743,2,122,20100112,17.4,1
40314,98,768,2,19,20100115,64.0,1
40315,188,638,1,79,20100111,87.1,1
40316,281,122,2,12,20100113,47.9,1
40317,541,269,1,6,20100112,85.4,1
40318,215,346,1,5,20100114,64.3,1
40319,44,682,1,16,20100113,2.4,1
40320,497,313,1,21,20100113,11.1,1
40321,451,568,1,14,20100114,66.3,1
40322,11,412,1,65,20100112,78.4,1
40323,581,773,2,71,20100116,37.9,1
40324,379,792,2,77,20100113,7.3,1
40325,67,995,1,119,20100115,53.5,1
40326,314,159,2,78,20100113,77.6,1
40327,529,748,1,15,20100114,63.5,1
40328,57,666,1,75,20100114,12.5,1
40329,472,764,2,14,20100114,46.9,1
40330,158,811,1,21,20100114,92.8,1
40331,198,958,1,74,20100114,4.0,1
40332,468,859,1,8,20100116,26.8,1
40333,15,784,1,66,20100114,32.5,1
40334,262,435,1,6,20100116,98.0,1
40335,552,301,1,6,20100117,94.9,1
40336,363,569,1,15,20100116,75.0,1
40337,15,402,1,122,20100115,40.6,1
40338,407,481,1,4,20100116,72.5,1
40339,278,845,2,119,20100118,29.8,1
40340,279,960,2,15,20100117,6.2,1
40341,378,982,2,79,20100119,13.9,1
40342,160,927,1,1,20100119,83.8,1
40343,279,83,1,71,20100118,42.9,1
40344,55,249,1,119,20100116,54.5,1
40345,347,525,2,9,20100117,91.5,1
40346,366,235,1,62,20100118,74.5,1
40347,443,434,2,17,20100117,3.5,1
40348,547,730,2,16,20100120,91.2,1
40349,49,657,1,8,20100117,53.2,1
40350,134,572,2,119,20100119,32.4,1
40351,246,981,2,73,20100121,35.6,1
40352,214,320,1,9,20100118,78.9,1
40353,559,447,2,65,20100120,78.5,1
40354,135,92,1,19,20100118,18.0,1
40355,306,366,2,69,20100118,82.2,1
40356,430,478,2,6,20100117,68.6,1
40357,174,450,1,6,20100121,77.5,1
40358,275,567,1,15,20100118,77.5,1
40359,467,641,1,119,20100121,13.7,1
40360,94,290,1,3,20100119,82.8,1
40361,346,756,2,5,20100119,41.8,1
40362,393,59,2,79,20100119,22.1,1
40363,409,291,1,79,20100120,39.0,1
40364,292,358,1,71,20100118,10.1,1
40365,401,553,2,7,20100122,87.4,1
40366,60,141,2,117,20100121,97.9,1
40367,599,492,1,16,20100122,18.9,1
40368,139,330,2,126,20100122,61.9,1
40369,509,219,1,68,20100122,12.7,1
40370,196,599,1,3,20100119,66.4,1
40371,317,78,2,62,20100120,76.8,1
40372,418,872,2,20,20100120,39.9,1
40373,463,397,1,115,20100122,2.5,1
40374,547,506,1,20,20100122,39.7,1
40375,587,596,1,16,20100120,53.5,1
40376,197,724,2,19,20100118,90.0,1
40377,38,696,2,122,20100121,62.0,1
40378,543,820,2,62,20100120,8.8,1
40379,390,154,2,122,20100120,35.3,1
40380,437,911,2,122,20100122,6.0,1
40381,283,735,1,10,20100123,81.5,1
40382,536,83,1,8,20100120,33.6,1
40383,252,563,1,79,20100119,42.7,1
40384,410,584,1,68,20100122,43.7,1
40385,234,724,1,81,20100121,40.9,1
40386,284,284,1,74,20100122,83.4,1
40387,325,790,1,125,20100121,18.3,1
40388,208,20,1,121,20100122,77.8,1
40389,208,735,1,118,20100122,26.5,1
40390,7,666,2,14,20100125,6.4,1
40391,158,199,1,119,20100122,87.8,1
40392,120,849,2,4,20100122,45.8,1
40393,154,865,1,115,20100123,44.6,1
40394,525,507,2,5,20100125,33.3,1
40395,49,262,2,78,20100122,54.3,1
40396,1,888,1,113,20100122,53.4,1
40397,62,913,2,125,20100123,32.0,1
40398,230,841,1,69,20100124,79.4,1
40399,593,805,1,20,20100125,42.4,1
40400,382,66,1,126,20100124,2.9,1
40401,562,766,1,62,20100127,71.3,1
40402,400,641,2,76,20100125,23.9,1
40403,558,308,2,121,20100124,60.1,1
40404,362,357,2,17,20100125,44.4,1
40405,221,587,1,18,20100125,18.6,1
40406,559,81,1,121,20100128,50.5,1
40407,219,594,1,11,20100124,40.8,1
40408,150,638,2,79,20100128,63.4,1
40409,577,811,1,14,20100128,91.1,1
40410,293,741,1,75,20100124,64.8,1
40411,211,75,2,73,20100127,29.9,1
40412,16,72,2,120,20100127,3.8,1
40413,340,380,2,75,20100126,25.1,1
40414,222,567,2,5,20100126,85.6,1
40415,552,135,2,123,20100126,73.2,1
40416,232,429,2,7,20100128,65.0,1
40417,512,549,1,2,20100126,64.2,1
40418,550,447,1,121,20100128,25.6,1
40419,371,964,1,12,20100125,60.4,1
40420,58,770,2,6,20100129,45.7,1
40421,321,122,1,119,20100125,85.1,1
40422,283,42,2,10,20100127,84.3,1
40423,576,346,1,118,20100125,76.8,1
40424,249,535,1,6,20100128,86.9,1
40425,327,945,1,67,20100128,63.4,1
40426,545,991,2,7,20100128,82.2,1
40427,215,99,1,78,20100128,52.4,1
40428,521,2,2,81,20100125,71.0,1
40429,385,127,2,123,20100126,96.3,1
40430,175,944,2,12,20100129,57.2,1
40431,360,772,2,15,20100125,30.5,1
40432,249,90,2,122,20100128,46.7,1
40433,284,619,1,74,20100129,56.7,1
40434,62,342,1,74,20100126,9.3,1
40435,23,260,2,75,20100127,35.0,1
40436,278,980,2,66,20100127,1.4,1
40437,387,590,2,14,20100130,22.6,1
40438,282,31,1,5,20100126,50.5,1
40439,441,862,1,118,20100127,91.0,1
40440,464,970,1,1,20100126,76.8,1
40441,134,11,2,62,20100127,40.4,1
40442,222,702,1,71,20100128,73.5,1
40443,399,596,1,123,20100127,88.7,1
40444,251,449,2,75,20100130,72.2,1
40445,29,461,2,8,20100129,43.6,1
40446,59,414,1,117,20100127,44.9,1
40447,344,934,2,63,20100130,82.8,1
40448,47,417,2,75,20100127,40.8,1
40449,344,187,2,76,20100131,87.7,1
40450,356,116,1,72,20100129,47.4,1
40451,440,430,2,117,20100129,2.9,1
40452,440,988,2,62,20100131,68.5,1
40453,385,975,2,62,20100131,63.7,1
40454,377,176,1,9,20100129,94.4,1
40455,2,340,1,63,20100130,23.3,1
40456,258,271,2,125,20100131,28.3,1
40457,210,676,2,17,20100128,94.4,1
40458,139,868,1,20,20100201,5.0,1
40459,340,785,1,12,20100128,60.3,1
40460,567,139,1,2,20100129,37.4,1
40461,249,367,1,1,20100202,44.0,1
40462,392,915,1,74,20100202,71.2,1
